Index,Player_name,Birthplace,Census_info,population,class,Census_url,State,Birth_year,Major contribution (ORIG),Major_contribution,Number_of_ODIs_played,Player_url,Latitude (ORIG),Longitude (ORIG),Latitude,Longitude,Player_image
1,Shikhar Dhawan,Delhi,"Delhi U.A [DEL, Population: 12877470, Class - I]",12877470,Class - I,https://censusindia.gov.in/towns/del_towns.pdf,Delhi,"December 5, 1985",Opening batsman,Bastman,136,https://www.espncricinfo.com/india/content/player/28235.html,28.664346,77.090888,28.76,77.090888,https://p.imgci.com/db/PICTURES/CMS/302300/302373.jpg
2,Rohit Sharma,Nagpur,"Nagpur UA [ MAH, Population: 2129500, Class - I ]",2129500,Class - I,https://censusindia.gov.in/towns/mah_towns.pdf,Maharashtra,"April 30, 1987",Top-order batsman,Batsman,224,https://www.espncricinfo.com/india/content/player/34102.html,21.166493,79.105371,21.166493,79.105371,https://p.imgci.com/db/PICTURES/CMS/302300/302374.jpg
3,K. L. Rahul,Bangalore,"Bangalore UA [ KRN, Population: 5701446, Class - I ] ",5701446,Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"April 18, 1992",Batsman,Batsman,32,https://www.espncricinfo.com/india/content/player/422108.html,12.969907,77.596552,12.969907,77.4,https://p.imgci.com/db/PICTURES/CMS/304200/304207.png
4,Virat Kohli,Delhi,"Delhi U.A [DEL, Population: 12877470, Class - I]",12877470,Class - I,https://censusindia.gov.in/towns/del_towns.pdf,Delhi,"November 5, 1988",Captain/Top-order batsman,Batsman,248,https://www.espncricinfo.com/india/content/player/253802.html,28.664346,77.090888,28.664346,77.090888,https://p.imgci.com/db/PICTURES/CMS/289000/289002.1.jpg
5,MS Dhoni,Ranchi,"Ranchi UA [JHA, Population: 863495, Class - I]",863495,Class - I,https://censusindia.gov.in/towns/jha_towns.pdf,Jharkhand,"July 7, 1981",Captain/Wicketkeeper batsman,Batsman,350,https://www.espncricinfo.com/india/content/player/28081.html,23.344096,85.309218,23.344096,85.309218,https://www.espncricinfo.com/inline/content/image/1220600.html
6,Kedar Jadhav,Pune,"Pune UA [ MAH, Population: 3760636, Class - I ]",3760636,Class - I,https://censusindia.gov.in/towns/mah_towns.pdf,Maharashtra,"March 26, 1985",Batting allrounder,Allrounder,73,https://www.espncricinfo.com/india/content/player/290716.html,18.521078,73.857086,18.521078,73.857086,https://www.espncricinfo.com/inline/content/image/1220816.html
7,Vijay Shankar,Tirunelveli,"Tirunelveli UA [ TN, Population: 433352, Class - I ] ",433352,Class - I,https://censusindia.gov.in/towns/tn_towns.pdf,Tamil Nadu,"January 26, 1991",Batsman,Batsman,12,https://www.espncricinfo.com/india/content/player/477021.html,8.716626,77.75648,8.716626,77.75648,https://www.espncricinfo.com/inline/content/image/1185497.html?alt=1
8,Dinesh Karthik,Chennai,"Chennai UA (Distts 01,02 & 03) [ TN, Population: 6560242, Class - I ] ",6560242,Class - I,https://censusindia.gov.in/towns/tn_towns.pdf,Tamil Nadu,"June 1, 1985",Wicketkeeper batsman,Wicketkeeper,94,https://www.espncricinfo.com/india/content/player/30045.html,13.083681,80.270718,13.083681,80.270718,https://www.espncricinfo.com/inline/content/image/1223360.html
9,Hardik Pandya,"Choryasi, Surat Dist","Surat UA [ GUJ, Population: 2811614, Class - I ",2811614,Class - I,https://censusindia.gov.in/towns/guj_towns.pdf,Gujarat,"October 11, 1993",Allrounder,Allrounder,54,https://www.espncricinfo.com/india/content/player/625371.html,21.310963,72.954791,21.310963,72.954791,https://www.espncricinfo.com/inline/content/image/1223366.html
10,Ravindra Jadeja,"Navagam-Khed, Saurashtra, Jamnagar Dist","Jamnagar UA [ GUJ, Population: 556956, Class - I ] ",556956,Class - I,https://censusindia.gov.in/towns/guj_towns.pdf,Gujarat,"December 6, 1988",Allrounder,Allrounder,165,https://www.espncricinfo.com/india/content/player/234675.html,22.485469,70.071891,22.485469,70.071891,https://www.espncricinfo.com/inline/content/image/1220591.html
11,Bhuvneshwar Kumar,Meerut,"Meerut UA [UP, Population: 1161716, Class - I]",1161716,Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"February 5, 1990",Bowler,Bowler,114,https://www.espncricinfo.com/india/content/player/326016.html,28.988948,77.706754,28.988948,77.706754,https://www.espncricinfo.com/inline/content/image/1223359.html
12,Mohammed Shami,Amroha," Amroha (MB) [UP, Population: 165129, Class - I] ",165129,Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"September 3, 1990",Bowler,Bowler,77,https://www.espncricinfo.com/india/content/player/481896.html,28.91087,78.468002,28.91087,78.468002,https://www.espncricinfo.com/inline/content/image/1223375.html
13,Jasprit Bumrah,Ahmedabad,"Ahmadabad UA (Distts 06 & 07) [ GUJ, Population: 4525013, Class - I ]",4525013,Class - I,https://censusindia.gov.in/towns/guj_towns.pdf,Gujarat,"December 6, 1993",Bowler,Bowler,64,https://www.espncricinfo.com/india/content/player/625383.html,23.023607,72.572048,23.023607,72.572048,https://www.espncricinfo.com/inline/content/image/1220572.html
14,Kuldeep Yadav,Kanpur,"Kanpur UA [UP, Population: 2715555, Class - I]",2715555,Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"December 14, 1994",Bowler,Bowler,60,https://www.espncricinfo.com/india/content/player/559235.html,26.454824,80.33084,26.454824,80.33084,https://www.espncricinfo.com/inline/content/image/1223373.html
15,Yuzvendra Chahal,Jind,"Jind (M Cl ) [HAR, Population: 135855, Class - I] ",135855,Class - I,https://censusindia.gov.in/towns/har_towns.pdf,Haryana,"July 23, 1990",Bowler,Bowler,52,https://www.espncricinfo.com/india/content/player/430246.html,29.333272,76.298758,29.333272,76.298758,https://www.espncricinfo.com/inline/content/image/1183830.html?alt=1
16,Ravichandran Ashwin,Chennai,"Chennai UA (Distts 01,02 & 03) [ TN, Population: 6560242, Class - I ] ",6560242,Class - I,https://censusindia.gov.in/towns/tn_towns.pdf,Tamil Nadu,"September 17, 1986",Bowling allrounder,Allrounder,111,https://www.espncricinfo.com/india/content/player/26421.html,13.084852,80.270889,13.084852,80.270889,https://www.espncricinfo.com/inline/content/image/1220592.html
17,Stuart Binny,Bangalore,"Bangalore UA [ KRN, Population: 5701446, Class - I ] ",5701446,Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"June 3, 1984",Allrounder,Allrounder,14,https://www.espncricinfo.com/india/content/player/27223.html,12.971764,77.594562,12.971764,77.594562,https://www.espncricinfo.com/inline/content/image/1223436.html
18,Axar Patel,Anand,"Anand UA [ GUJ, Population: 218486, Class - I ] ",218486,Class - I,https://censusindia.gov.in/towns/guj_towns.pdf,Gujarat,"January 20, 1994",Bowling allrounder,Allrounder,38,https://www.espncricinfo.com/india/content/player/554691.html,22.566891,72.928527,22.566891,72.928527,https://www.espncricinfo.com/inline/content/image/828145.html?alt=1
19,Ajinkya Rahane,"Ashwi-KD, Ahmednagar District","Ahmadnagar UA [ MAH, Population: 347549, Class - I ]",347549,Class - I,https://censusindia.gov.in/towns/mah_towns.pdf,Maharashtra,"June 6, 1988",Top-order batsman,Batsman,90,https://www.espncricinfo.com/india/content/player/277916.html,19.514904,74.373144,19.514904,74.373144,https://www.espncricinfo.com/inline/content/image/1220566.html
20,Suresh Raina,Muradnagar,"Muradnagar (MB) [UP, Population: 74151, Class - II]",74151,Class - II,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"November 27, 1986",Middle-order batsman,Batsman,226,https://www.espncricinfo.com/india/content/player/33335.html,28.770611,77.508486,28.770611,77.508486,https://www.espncricinfo.com/inline/content/image/1223389.html
21,Ambati Rayudu,Guntur,"Guntur (M Corp.) [ AP, Population: 514461, Class - I ] ",514461,Class - I,https://censusindia.gov.in/towns/ap_towns.pdf,Andhra Pradesh,"September 23, 1985",Middle-order batsman,Batsman,55,https://www.espncricinfo.com/india/content/player/33141.html,16.308462,80.436196,16.308462,80.436196,https://www.espncricinfo.com/inline/content/image/828565.html?alt=1
22,Mohit Sharma,"Ballabhgarh, Faridabad District","Faridabad (M Corp.) [HAR, Population: 1055938, Class - I] ",1055938,Class - I,https://censusindia.gov.in/towns/har_towns.pdf,Haryana,"September 18, 1988",Bowler,Bowler,26,https://www.espncricinfo.com/india/content/player/537119.html,28.342987,77.319873,28.342987,77.319873,https://www.espncricinfo.com/inline/content/image/728147.html
23,Umesh Yadav,Nagpur,"Nagpur UA [ MAH, Population: 2129500, Class - I ] ",2129500,Class - I,https://censusindia.gov.in/towns/mah_towns.pdf,Maharashtra,"October 25, 1987",Bowler,Bowler,75,https://www.espncricinfo.com/india/content/player/376116.html,21.147718,79.088154,21,79.088154,https://www.espncricinfo.com/inline/content/image/1220593.html
24,Ishant Sharma,Delhi,"Delhi U.A [DEL, Population: 12877470, Class - I]",12877470,Class - I,https://censusindia.gov.in/towns/del_towns.pdf,Delhi,"September 2, 1988",Bowler,Bowler,80,https://www.espncricinfo.com/india/content/player/236779.html,28.664346,77.090888,28.6,77,https://www.espncricinfo.com/inline/content/image/1220585.html
25,Yuvraj Singh,Chandigarh,"Chandigarh (M Corp.) [CHD, Population: 808515, Class - I] ",808515,Class - I,https://censusindia.gov.in/towns/chd_towns.pdf,Chandigarh,"December 12, 1981",Middle-order batsman,Batsman,304,https://www.espncricinfo.com/india/content/player/36084.html,30.736542,76.779758,30.736542,76.779758,https://www.espncricinfo.com/inline/content/image/1220604.html
26,Manish Pandey,"Nainital, Uttaranchal","Naintal UA [UTT, Population: 39911, Class - III]",39911,Class - III,https://censusindia.gov.in/towns/utt_towns.pdf,Uttarakhand,"September 10, 1989",Top-order batsman,Batsman,26,https://www.espncricinfo.com/india/content/player/290630.html,29.392201,79.454544,29.392201,79.454544,https://www.espncricinfo.com/inline/content/image/1220819.html
27,Amit Mishra,Delhi,"Delhi U.A [DEL, Population: 12877470, Class - I]",12877470,Class - I,https://censusindia.gov.in/towns/del_towns.pdf,Delhi,"November 24, 1982",Bowler,Bowler,36,https://www.espncricinfo.com/india/content/player/31107.html,28.664346,77.090888,28.6,77.190888,https://www.espncricinfo.com/inline/content/image/1223357.html
28,Irfan Pathan,Baroda,"Vadodara UA [ GUJ, Population: 1491045, Class - I ]",1491045,Class - I,https://censusindia.gov.in/towns/guj_towns.pdf,Gujarat,"October 27, 1984",Allrounder,Allrounder,120,https://www.espncricinfo.com/india/content/player/32685.html,22.310014,73.180875,22.310014,73.180875,https://www.espncricinfo.com/inline/content/image/1223367.html
29,Murali Vijay,Chennai,"Chennai UA (Distts 01,02 & 03) [ TN, Population: 6560242, Class - I ]",6560242,Class - I,https://censusindia.gov.in/towns/tn_towns.pdf,Tamil Nadu,"April 1, 1984",Opening batsman,Batsman,17,https://www.espncricinfo.com/india/content/player/237095.html,13.082511,80.270546,12.97,80.17,https://www.espncricinfo.com/inline/content/image/1223380.html
30,Vinay Kumar,Davanagere,"Davanagere (CMC) [ KRN, Population: 364523, Class - I ]",364523,Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"February 12, 1984",Bowler,Bowler,31,https://www.espncricinfo.com/india/content/player/35731.html,14.465071,75.922959,14.465071,75.922959,https://www.espncricinfo.com/inline/content/image/1223390.html
