Birthplace,population
Ahmedabad,4525013
Amroha,165129
Anand,218486
"Ashwi-KD, Ahmednagar District",347549
"Ballabhgarh, Faridabad District",1055938
Bangalore,5701446
Baroda,1491045
Chandigarh,808515
Chennai,6560242
"Choryasi, Surat Dist",2811614
Davanagere,364523
Delhi,12877470
Guntur,514461
Jind,135855
Kanpur,2715555
Meerut,1161716
Muradnagar,74151
Nagpur,2129500
"Nainital, Uttaranchal",39911
"Navagam-Khed, Saurashtra, Jamnagar Dist",556956
Pune,3760636
Ranchi,863495
Tirunelveli,433352
